Release Date,Date Added,#P,Active Params,Total Params,Model,Link,UGI 🏆,W/10 👍,I/10 💡,Unruly,Internet,Stats,Writing,PolContro,Reg+MyScore 🏆,Reg+Int 🏆,MyScore 🏆,ASSS⬇️,SMOG⬆️,Yule⬇️,Score 🏆,Dif,Cor,Std,Foundation
8/15/2024,8/17/2024,405,405.0,405.0,NousResearch/Hermes-3-Llama-3.1-405B,https://huggingface.co/NousResearch/Hermes-3-Llama-3.1-405B,66.67,6.363636364,8.812585635,65.8,66.0,58.1,56.7,86.7,0.375,0.701,0.30,7.32,8.02,1.84,0.556,1.40,0.38,0.96,0
8/29/2024,8/29/2024,123,123.0,123.0,FluffyKaeloky/Luminum-v0.1-123B,https://huggingface.co/FluffyKaeloky/Luminum-v0.1-123B,60.13,9.090909091,6.519961928,83.3,42.4,59.5,51.4,64.0,0.126,0.371,0.10,9.23,8.65,1.58,0.239,2.20,0.28,1.95,0
9/8/2024,10/9/2024,123,123.0,123.0,schnapper79/lumikabra-123B_v0.4,https://huggingface.co/schnapper79/lumikabra-123B_v0.4,59.46,7.727272727,6.456088688,85.4,32.4,48.7,53.5,77.3,0.296,0.374,0.30,7.47,8.29,1.33,0.037,2.67,-0.25,1.93,0
10/8/2024,10/9/2024,123,123.0,123.0,TheDrummer/Behemoth-123B-v1,https://huggingface.co/TheDrummer/Behemoth-123B-v1,58.47,8.181818182,6.579646704,79.2,27.9,55.3,52.6,77.3,0.163,0.305,0.15,7.38,8.69,1.41,0.070,2.73,-0.03,2.29,0
8/3/2024,8/8/2024,405,405.0,405.0,migtissera/Tess-3-Llama-3.1-405B,https://huggingface.co/migtissera/Tess-3-Llama-3.1-405B,58.27,6.363636364,8.585381661,75.0,54.4,44.2,55.4,62.3,0.139,0.377,0.10,7.72,7.26,1.65,0.000,NA,NA,NA,0
7/9/2024,8/16/2024,70,70.0,70.0,juvi21/Hermes-2-Theta-L3-Euryale-Ties-0.8-70B,https://huggingface.co/juvi21/Hermes-2-Theta-L3-Euryale-Ties-0.8-70B,56.16,9.090909091,6.341414024,70.8,41.9,50.9,49.2,68.0,0.258,0.395,0.20,5.87,7.54,1.26,0.091,2.47,0.02,1.00,0
6/14/2024,,70,70.0,70.0,Sao10K/L3-70B-Euryale-v2.1,https://huggingface.co/Sao10K/L3-70B-Euryale-v2.1,55.56,9.090909091,6.341414024,66.7,42.0,50.9,56.3,62.0,0.361,0.410,0.35,5.66,6.37,1.91,0.267,2.13,0.29,1.19,0
5/27/2024,,70,70.0,70.0,crestf411/L3-70B-daybreak-abliterated-v0.4,https://huggingface.co/crestf411/L3-70B-daybreak-abliterated-v0.4,54.95,8.727272727,4.383519924,78.3,55.5,43.5,43.8,53.7,0.189,0.380,0.15,5.57,8.08,1.69,0.146,2.07,-0.01,1.18,0
7/24/2024,7/29/2024,123,123.0,123.0,mistralai/Mistral-Large-Instruct-2407,https://huggingface.co/mistralai/Mistral-Large-Instruct-2407,54.82,6.363636364,5.956088688,79.2,34.9,50.5,63.2,46.3,0.264,0.386,0.25,6.36,8.23,2.00,0.254,1.67,0.09,0.94,1
8/19/2024,8/19/2024,123,123.0,123.0,anthracite-org/magnum-v2-123b,https://huggingface.co/anthracite-org/magnum-v2-123b,53.46,8.181818182,5.911093286,60.8,37.9,59.2,51.3,58.0,0.331,0.383,0.35,4.77,7.05,1.34,0.084,2.47,-0.04,1.88,0
